instant,dteday,season,holiday,weekday,weathersit,temp,windspeed,casual,registered,cnt
46,2011-02-15,1,0,2,1,0.26608699999999996,0.29137399999999997,140,1675,1815
47,2011-02-16,1,0,3,1,0.318261,0.251791,218,1897,2115
48,2011-02-17,1,0,4,1,0.43583299999999997,0.230104,259,2216,2475
49,2011-02-18,1,0,5,1,0.521667,0.264925,579,2348,2927
50,2011-02-19,1,0,6,1,0.399167,0.507463,532,1103,1635
51,2011-02-20,1,0,0,1,0.285217,0.223235,639,1173,1812
52,2011-02-21,1,1,1,2,0.303333,0.307846,195,912,1107
53,2011-02-22,1,0,2,1,0.182222,0.195683,74,1376,1450
54,2011-02-23,1,0,3,1,0.221739,0.094113,139,1778,1917
55,2011-02-24,1,0,4,2,0.295652,0.250496,100,1707,1807
56,2011-02-25,1,0,5,2,0.364348,0.346539,120,1341,1461
57,2011-02-26,1,0,6,1,0.2825,0.18657100000000001,424,1545,1969
58,2011-02-27,1,0,0,1,0.343478,0.125248,694,1708,2402
59,2011-02-28,1,0,1,2,0.407273,0.289686,81,1365,1446
60,2011-03-01,1,0,2,1,0.266667,0.216425,137,1714,1851
61,2011-03-02,1,0,3,1,0.335,0.30783299999999997,231,1903,2134
62,2011-03-03,1,0,4,1,0.19833299999999998,0.225754,123,1562,1685
63,2011-03-04,1,0,5,2,0.261667,0.203346,214,1730,1944
64,2011-03-05,1,0,6,2,0.384167,0.251871,640,1437,2077
65,2011-03-06,1,0,0,2,0.37652199999999997,0.343287,114,491,605
66,2011-03-07,1,0,1,1,0.261739,0.341352,244,1628,1872
67,2011-03-08,1,0,2,1,0.2925,0.12065,316,1817,2133
68,2011-03-09,1,0,3,2,0.295833,0.22015,191,1700,1891
69,2011-03-10,1,0,4,3,0.38909099999999996,0.26187699999999997,46,577,623
70,2011-03-11,1,0,5,2,0.31652199999999997,0.23296999999999998,247,1730,1977
71,2011-03-12,1,0,6,1,0.329167,0.220775,724,1408,2132
72,2011-03-13,1,0,0,1,0.384348,0.270604,982,1435,2417
73,2011-03-14,1,0,1,1,0.32521700000000003,0.136926,359,1687,2046
74,2011-03-15,1,0,2,2,0.317391,0.184309,289,1767,2056
75,2011-03-16,1,0,3,2,0.365217,0.20311700000000002,321,1871,2192
76,2011-03-17,1,0,4,1,0.415,0.209579,424,2320,2744
77,2011-03-18,1,0,5,1,0.54,0.231017,884,2355,3239
78,2011-03-19,1,0,6,1,0.4725,0.368167,1424,1693,3117
79,2011-03-20,1,0,0,1,0.3325,0.20772100000000002,1047,1424,2471
80,2011-03-21,2,0,1,2,0.430435,0.288783,401,1676,2077
81,2011-03-22,2,0,2,1,0.44166700000000003,0.22575,460,2243,2703
82,2011-03-23,2,0,3,2,0.346957,0.23426100000000002,203,1918,2121
83,2011-03-24,2,0,4,2,0.285,0.24378699999999998,166,1699,1865
84,2011-03-25,2,0,5,1,0.264167,0.230725,300,1910,2210
85,2011-03-26,2,0,6,1,0.265833,0.209571,981,1515,2496
86,2011-03-27,2,0,0,2,0.25304299999999996,0.1843,472,1221,1693
87,2011-03-28,2,0,1,1,0.264348,0.212204,222,1806,2028
88,2011-03-29,2,0,2,1,0.3025,0.226996,317,2108,2425
89,2011-03-30,2,0,3,2,0.3,0.17288800000000001,168,1368,1536
90,2011-03-31,2,0,4,3,0.268333,0.217646,179,1506,1685
91,2011-04-01,2,0,5,2,0.3,0.258708,307,1920,2227
92,2011-04-02,2,0,6,2,0.315,0.19714600000000002,898,1354,2252
93,2011-04-03,2,0,0,1,0.378333,0.182213,1651,1598,3249
94,2011-04-04,2,0,1,1,0.573333,0.385571,734,2381,3115
95,2011-04-05,2,0,2,2,0.414167,0.388067,167,1628,1795
96,2011-04-06,2,0,3,1,0.390833,0.263063,413,2395,2808
97,2011-04-07,2,0,4,1,0.4375,0.16231199999999998,571,2570,3141
98,2011-04-08,2,0,5,2,0.335833,0.226992,172,1299,1471
99,2011-04-09,2,0,6,2,0.3425,0.13308299999999998,879,1576,2455
100,2011-04-10,2,0,0,2,0.426667,0.146767,1188,1707,2895
101,2011-04-11,2,0,1,2,0.5956520000000001,0.324474,855,2493,3348
102,2011-04-12,2,0,2,2,0.5025,0.274879,257,1777,2034
103,2011-04-13,2,0,3,2,0.4125,0.25061700000000003,209,1953,2162
104,2011-04-14,2,0,4,1,0.4675,0.1107,529,2738,3267
105,2011-04-15,2,1,5,1,0.446667,0.226375,642,2484,3126
106,2011-04-16,2,0,6,3,0.43083299999999997,0.340808,121,674,795
107,2011-04-17,2,0,0,1,0.456667,0.303496,1558,2186,3744
108,2011-04-18,2,0,1,1,0.5125,0.16356700000000002,669,2760,3429
109,2011-04-19,2,0,2,2,0.505833,0.157971,409,2795,3204
110,2011-04-20,2,0,3,1,0.595,0.241925,613,3331,3944
111,2011-04-21,2,0,4,1,0.459167,0.325258,745,3444,4189
112,2011-04-22,2,0,5,2,0.336667,0.219521,177,1506,1683
113,2011-04-23,2,0,6,2,0.46,0.230725,1462,2574,4036
114,2011-04-24,2,0,0,2,0.581667,0.192175,1710,2481,4191
115,2011-04-25,2,0,1,1,0.606667,0.185333,773,3300,4073
116,2011-04-26,2,0,2,1,0.631667,0.3265,678,3722,4400
117,2011-04-27,2,0,3,2,0.62,0.3122,547,3325,3872
118,2011-04-28,2,0,4,2,0.6175,0.32090799999999997,569,3489,4058
119,2011-04-29,2,0,5,1,0.51,0.240063,878,3717,4595
120,2011-04-30,2,0,6,1,0.4725,0.235075,1965,3347,5312
121,2011-05-01,2,0,0,2,0.451667,0.10635399999999999,1138,2213,3351
122,2011-05-02,2,0,1,2,0.549167,0.183454,847,3554,4401
123,2011-05-03,2,0,2,2,0.616667,0.342667,603,3848,4451
124,2011-05-04,2,0,3,2,0.414167,0.328996,255,2378,2633
125,2011-05-05,2,0,4,1,0.459167,0.295392,614,3819,4433
126,2011-05-06,2,0,5,1,0.479167,0.228246,894,3714,4608
127,2011-05-07,2,0,6,1,0.52,0.16045,1612,3102,4714
128,2011-05-08,2,0,0,1,0.5283329999999999,0.0746375,1401,2932,4333
129,2011-05-09,2,0,1,1,0.5325,0.17600000000000002,664,3698,4362
130,2011-05-10,2,0,2,1,0.5325,0.11567100000000001,694,4109,4803
131,2011-05-11,2,0,3,1,0.5425,0.12064200000000001,550,3632,4182
132,2011-05-12,2,0,4,1,0.535,0.189667,695,4169,4864
133,2011-05-13,2,0,5,2,0.5125,0.179725,692,3413,4105
134,2011-05-14,2,0,6,2,0.520833,0.13495,902,2507,3409
135,2011-05-15,2,0,0,2,0.5625,0.152979,1582,2971,4553
136,2011-05-16,2,0,1,1,0.5775,0.126871,773,3185,3958
137,2011-05-17,2,0,2,2,0.561667,0.277354,678,3445,4123
138,2011-05-18,2,0,3,2,0.55,0.201492,536,3319,3855
139,2011-05-19,2,0,4,2,0.530833,0.10821300000000002,735,3840,4575
140,2011-05-20,2,0,5,1,0.536667,0.125013,909,4008,4917
141,2011-05-21,2,0,6,1,0.6025,0.12065,2258,3547,5805
142,2011-05-22,2,0,0,1,0.604167,0.148008,1576,3084,4660
143,2011-05-23,2,0,1,2,0.631667,0.233842,836,3438,4274
144,2011-05-24,2,0,2,2,0.66,0.207092,659,3833,4492
145,2011-05-25,2,0,3,1,0.660833,0.15423299999999998,740,4238,4978
146,2011-05-26,2,0,4,1,0.708333,0.19964200000000001,758,3919,4677
147,2011-05-27,2,0,5,1,0.681667,0.240679,871,3808,4679
148,2011-05-28,2,0,6,1,0.655833,0.23009200000000002,2001,2757,4758
149,2011-05-29,2,0,0,1,0.6675,0.21393800000000002,2355,2433,4788
150,2011-05-30,2,1,1,1,0.733333,0.131225,1549,2549,4098
151,2011-05-31,2,0,2,1,0.775,0.111329,673,3309,3982
152,2011-06-01,2,0,3,2,0.764167,0.207092,513,3461,3974
153,2011-06-02,2,0,4,1,0.715,0.29228699999999996,736,4232,4968
154,2011-06-03,2,0,5,1,0.62,0.253121,898,4414,5312
155,2011-06-04,2,0,6,1,0.635,0.123142,1869,3473,5342
156,2011-06-05,2,0,0,2,0.648333,0.138692,1685,3221,4906
157,2011-06-06,2,0,1,1,0.678333,0.121896,673,3875,4548
158,2011-06-07,2,0,2,1,0.7075,0.187808,763,4070,4833
159,2011-06-08,2,0,3,1,0.775833,0.136817,676,3725,4401
160,2011-06-09,2,0,4,2,0.808333,0.149883,563,3352,3915
161,2011-06-10,2,0,5,1,0.755,0.14055399999999998,815,3771,4586
162,2011-06-11,2,0,6,1,0.725,0.15485,1729,3237,4966
163,2011-06-12,2,0,0,1,0.6925,0.16356700000000002,1467,2993,4460
164,2011-06-13,2,0,1,1,0.635,0.30535,863,4157,5020
165,2011-06-14,2,0,2,1,0.604167,0.269283,727,4164,4891
166,2011-06-15,2,0,3,1,0.626667,0.16791199999999998,769,4411,5180
167,2011-06-16,2,0,4,2,0.628333,0.20647100000000002,545,3222,3767
168,2011-06-17,2,0,5,1,0.649167,0.143029,863,3981,4844
169,2011-06-18,2,0,6,1,0.696667,0.11940799999999999,1807,3312,5119
170,2011-06-19,2,0,0,2,0.699167,0.102,1639,3105,4744
171,2011-06-20,2,0,1,2,0.635,0.155475,699,3311,4010
172,2011-06-21,3,0,2,2,0.680833,0.171025,774,4061,4835
173,2011-06-22,3,0,3,1,0.733333,0.172262,661,3846,4507
174,2011-06-23,3,0,4,2,0.728333,0.238804,746,4044,4790
175,2011-06-24,3,0,5,1,0.724167,0.222025,969,4022,4991
176,2011-06-25,3,0,6,1,0.695,0.209571,1782,3420,5202
177,2011-06-26,3,0,0,1,0.68,0.09453330000000001,1920,3385,5305
178,2011-06-27,3,0,1,2,0.6825,0.10758800000000002,854,3854,4708
179,2011-06-28,3,0,2,1,0.744167,0.144283,732,3916,4648
180,2011-06-29,3,0,3,1,0.728333,0.261821,848,4377,5225
181,2011-06-30,3,0,4,1,0.696667,0.18531199999999998,1027,4488,5515
182,2011-07-01,3,0,5,1,0.7225,0.10260799999999999,1246,4116,5362
183,2011-07-02,3,0,6,1,0.738333,0.11506199999999998,2204,2915,5119
184,2011-07-03,3,0,0,2,0.716667,0.228858,2282,2367,4649
185,2011-07-04,3,1,1,2,0.726667,0.08147919999999999,3065,2978,6043
186,2011-07-05,3,0,2,1,0.746667,0.12625799999999998,1031,3634,4665
187,2011-07-06,3,0,3,1,0.72,0.149883,784,3845,4629
188,2011-07-07,3,0,4,1,0.75,0.1592,754,3838,4592
189,2011-07-08,3,0,5,2,0.709167,0.225129,692,3348,4040
190,2011-07-09,3,0,6,1,0.733333,0.16791199999999998,1988,3348,5336
191,2011-07-10,3,0,0,1,0.7475,0.183471,1743,3138,4881
192,2011-07-11,3,0,1,1,0.7625,0.282337,723,3363,4086
193,2011-07-12,3,0,2,1,0.794167,0.200254,662,3596,4258
194,2011-07-13,3,0,3,1,0.746667,0.14613299999999999,748,3594,4342
195,2011-07-14,3,0,4,1,0.680833,0.24066700000000002,888,4196,5084
196,2011-07-15,3,0,5,1,0.663333,0.182833,1318,4220,5538
197,2011-07-16,3,0,6,1,0.686667,0.208342,2418,3505,5923
198,2011-07-17,3,0,0,1,0.719167,0.245033,2006,3296,5302
199,2011-07-18,3,0,1,1,0.746667,0.215804,841,3617,4458
200,2011-07-19,3,0,2,1,0.776667,0.1306,752,3789,4541
201,2011-07-20,3,0,3,1,0.768333,0.113817,644,3688,4332
202,2011-07-21,3,0,4,2,0.815,0.222021,632,3152,3784
203,2011-07-22,3,0,5,1,0.848333,0.1331,562,2825,3387
204,2011-07-23,3,0,6,1,0.849167,0.131221,987,2298,3285
205,2011-07-24,3,0,0,1,0.83,0.16917100000000002,1050,2556,3606
206,2011-07-25,3,0,1,1,0.743333,0.09080830000000001,568,3272,3840
207,2011-07-26,3,0,2,1,0.771667,0.200258,750,3840,4590
208,2011-07-27,3,0,3,1,0.775,0.18346300000000001,755,3901,4656
209,2011-07-28,3,0,4,1,0.779167,0.178479,606,3784,4390
210,2011-07-29,3,0,5,1,0.838333,0.17413800000000001,670,3176,3846
211,2011-07-30,3,0,6,1,0.804167,0.168537,1559,2916,4475
212,2011-07-31,3,0,0,1,0.805833,0.16481300000000002,1524,2778,4302
213,2011-08-01,3,0,1,1,0.771667,0.156717,729,3537,4266
214,2011-08-02,3,0,2,1,0.783333,0.20585,801,4044,4845
215,2011-08-03,3,0,3,2,0.731667,0.13558299999999998,467,3107,3574
216,2011-08-04,3,0,4,2,0.71,0.19715,799,3777,4576
217,2011-08-05,3,0,5,1,0.710833,0.184696,1023,3843,4866
218,2011-08-06,3,0,6,2,0.716667,0.22825,1521,2773,4294
219,2011-08-07,3,0,0,1,0.7425,0.201487,1298,2487,3785
220,2011-08-08,3,0,1,1,0.765,0.192175,846,3480,4326
221,2011-08-09,3,0,2,1,0.775,0.151121,907,3695,4602
222,2011-08-10,3,0,3,1,0.766667,0.200258,884,3896,4780
223,2011-08-11,3,0,4,1,0.7175,0.164796,812,3980,4792
224,2011-08-12,3,0,5,1,0.708333,0.125621,1051,3854,4905
225,2011-08-13,3,0,6,2,0.685833,0.211454,1504,2646,4150
226,2011-08-14,3,0,0,2,0.676667,0.222633,1338,2482,3820
227,2011-08-15,3,0,1,1,0.665833,0.208954,775,3563,4338
228,2011-08-16,3,0,2,1,0.700833,0.23632899999999998,721,4004,4725
229,2011-08-17,3,0,3,1,0.723333,0.14366700000000002,668,4026,4694
230,2011-08-18,3,0,4,1,0.711667,0.233208,639,3166,3805
231,2011-08-19,3,0,5,2,0.685,0.139308,797,3356,4153
232,2011-08-20,3,0,6,1,0.6975,0.104467,1914,3277,5191
233,2011-08-21,3,0,0,1,0.710833,0.248754,1249,2624,3873
234,2011-08-22,3,0,1,1,0.691667,0.27675,833,3925,4758
235,2011-08-23,3,0,2,1,0.640833,0.146763,1281,4614,5895
236,2011-08-24,3,0,3,1,0.673333,0.253108,949,4181,5130
237,2011-08-25,3,0,4,2,0.684167,0.210833,435,3107,3542
238,2011-08-26,3,0,5,1,0.7,0.0839625,768,3893,4661
239,2011-08-27,3,0,6,2,0.68,0.37561700000000003,226,889,1115
240,2011-08-28,3,0,0,1,0.707059,0.304659,1415,2919,4334
241,2011-08-29,3,0,1,1,0.636667,0.159825,729,3905,4634
242,2011-08-30,3,0,2,1,0.639167,0.12500799999999998,775,4429,5204
243,2011-08-31,3,0,3,1,0.656667,0.08333330000000001,688,4370,5058
244,2011-09-01,3,0,4,1,0.655,0.141796,783,4332,5115
245,2011-09-02,3,0,5,2,0.643333,0.139929,875,3852,4727
246,2011-09-03,3,0,6,1,0.669167,0.185325,1935,2549,4484
247,2011-09-04,3,0,0,1,0.709167,0.206467,2521,2419,4940
248,2011-09-05,3,1,1,2,0.673333,0.212696,1236,2115,3351
249,2011-09-06,3,0,2,3,0.54,0.343943,204,2506,2710
250,2011-09-07,3,0,3,3,0.599167,0.0970208,118,1878,1996
251,2011-09-08,3,0,4,3,0.6339130000000001,0.192748,153,1689,1842
252,2011-09-09,3,0,5,2,0.65,0.12437899999999999,417,3127,3544
253,2011-09-10,3,0,6,1,0.66,0.153608,1750,3595,5345
254,2011-09-11,3,0,0,1,0.6533329999999999,0.11505399999999999,1633,3413,5046
255,2011-09-12,3,0,1,1,0.6443479999999999,0.088913,690,4023,4713
256,2011-09-13,3,0,2,1,0.650833,0.14180399999999999,701,4062,4763
257,2011-09-14,3,0,3,1,0.673333,0.1673,647,4138,4785
258,2011-09-15,3,0,4,2,0.5775,0.271146,428,3231,3659
259,2011-09-16,3,0,5,2,0.469167,0.164183,742,4018,4760
260,2011-09-17,3,0,6,2,0.491667,0.189675,1434,3077,4511
261,2011-09-18,3,0,0,1,0.5075,0.178483,1353,2921,4274
262,2011-09-19,3,0,1,2,0.549167,0.15174200000000002,691,3848,4539
263,2011-09-20,3,0,2,2,0.561667,0.134954,438,3203,3641
264,2011-09-21,3,0,3,2,0.595,0.0964042,539,3813,4352
265,2011-09-22,3,0,4,2,0.628333,0.128125,555,4240,4795
266,2011-09-23,4,0,5,2,0.609167,0.0783667,258,2137,2395
267,2011-09-24,4,0,6,2,0.606667,0.0783833,1776,3647,5423
268,2011-09-25,4,0,0,2,0.634167,0.0503792,1544,3466,5010
269,2011-09-26,4,0,1,2,0.649167,0.1107,684,3946,4630
270,2011-09-27,4,0,2,2,0.636667,0.118171,477,3643,4120
271,2011-09-28,4,0,3,2,0.635,0.14862899999999998,480,3427,3907
272,2011-09-29,4,0,4,1,0.616667,0.17288299999999998,653,4186,4839
273,2011-09-30,4,0,5,1,0.564167,0.206475,830,4372,5202
274,2011-10-01,4,0,6,2,0.41,0.292296,480,1949,2429
275,2011-10-02,4,0,0,2,0.356667,0.22201300000000002,616,2302,2918
276,2011-10-03,4,0,1,2,0.384167,0.08334580000000001,330,3240,3570
277,2011-10-04,4,0,2,1,0.484167,0.205854,486,3970,4456
278,2011-10-05,4,0,3,1,0.538333,0.17725,559,4267,4826
279,2011-10-06,4,0,4,1,0.494167,0.134954,639,4126,4765
280,2011-10-07,4,0,5,1,0.510833,0.0223917,949,4036,4985
281,2011-10-08,4,0,6,1,0.521667,0.0454042,2235,3174,5409
282,2011-10-09,4,0,0,1,0.540833,0.06345,2397,3114,5511
283,2011-10-10,4,1,1,1,0.570833,0.0423042,1514,3603,5117
284,2011-10-11,4,0,2,2,0.566667,0.143042,667,3896,4563
285,2011-10-12,4,0,3,3,0.543333,0.24815,217,2199,2416
286,2011-10-13,4,0,4,2,0.589167,0.141787,290,2623,2913
287,2011-10-14,4,0,5,2,0.550833,0.223883,529,3115,3644
288,2011-10-15,4,0,6,1,0.506667,0.258083,1899,3318,5217
289,2011-10-16,4,0,0,1,0.511667,0.281717,1748,3293,5041
290,2011-10-17,4,0,1,1,0.5341670000000001,0.175379,713,3857,4570
291,2011-10-18,4,0,2,2,0.5325,0.11008699999999999,637,4111,4748
292,2011-10-19,4,0,3,3,0.5417390000000001,0.243339,254,2170,2424
293,2011-10-20,4,0,4,1,0.475833,0.422275,471,3724,4195
294,2011-10-21,4,0,5,1,0.4275,0.221396,676,3628,4304
295,2011-10-22,4,0,6,1,0.4225,0.09266669999999999,1499,2809,4308
296,2011-10-23,4,0,0,1,0.421667,0.0995125,1619,2762,4381
297,2011-10-24,4,0,1,1,0.463333,0.11879200000000001,699,3488,4187
298,2011-10-25,4,0,2,1,0.471667,0.166658,695,3992,4687
299,2011-10-26,4,0,3,2,0.484167,0.148642,404,3490,3894
300,2011-10-27,4,0,4,2,0.47,0.19776300000000002,240,2419,2659
301,2011-10-28,4,0,5,2,0.330833,0.229479,456,3291,3747
302,2011-10-29,4,0,6,3,0.25416700000000003,0.351371,57,570,627
303,2011-10-30,4,0,0,1,0.31916700000000003,0.176617,885,2446,3331
304,2011-10-31,4,0,1,1,0.34,0.10635,362,3307,3669
305,2011-11-01,4,0,2,1,0.400833,0.135571,410,3658,4068
306,2011-11-02,4,0,3,1,0.3775,0.08209169999999999,370,3816,4186
307,2011-11-03,4,0,4,1,0.408333,0.136817,318,3656,3974
308,2011-11-04,4,0,5,2,0.403333,0.271779,470,3576,4046
309,2011-11-05,4,0,6,1,0.326667,0.18906199999999998,1156,2770,3926
310,2011-11-06,4,0,0,1,0.348333,0.09205419999999999,952,2697,3649
311,2011-11-07,4,0,1,1,0.395,0.057225,373,3662,4035
312,2011-11-08,4,0,2,1,0.408333,0.0690375,376,3829,4205
313,2011-11-09,4,0,3,1,0.4,0.06219580000000001,305,3804,4109
314,2011-11-10,4,0,4,2,0.38,0.189067,190,2743,2933
315,2011-11-11,4,1,5,1,0.324167,0.314675,440,2928,3368
316,2011-11-12,4,0,6,1,0.356667,0.212062,1275,2792,4067
317,2011-11-13,4,0,0,1,0.440833,0.281721,1004,2713,3717
318,2011-11-14,4,0,1,1,0.53,0.306596,595,3891,4486
319,2011-11-15,4,0,2,2,0.53,0.199633,449,3746,4195
320,2011-11-16,4,0,3,3,0.456667,0.136829,145,1672,1817
321,2011-11-17,4,0,4,2,0.341667,0.30536199999999997,139,2914,3053
322,2011-11-18,4,0,5,1,0.274167,0.168533,245,3147,3392
323,2011-11-19,4,0,6,1,0.329167,0.224496,943,2720,3663
324,2011-11-20,4,0,0,2,0.463333,0.18595,787,2733,3520
325,2011-11-21,4,0,1,3,0.4475,0.138054,220,2545,2765
326,2011-11-22,4,0,2,3,0.416667,0.11879200000000001,69,1538,1607
327,2011-11-23,4,0,3,2,0.440833,0.335825,112,2454,2566
328,2011-11-24,4,1,4,1,0.37333299999999997,0.167304,560,935,1495
329,2011-11-25,4,0,5,1,0.375,0.0988958,1095,1697,2792
330,2011-11-26,4,0,6,1,0.375833,0.0684208,1249,1819,3068
331,2011-11-27,4,0,0,1,0.459167,0.208954,810,2261,3071
332,2011-11-28,4,0,1,1,0.503478,0.142122,253,3614,3867
333,2011-11-29,4,0,2,2,0.458333,0.258092,96,2818,2914
334,2011-11-30,4,0,3,1,0.325,0.271158,188,3425,3613
335,2011-12-01,4,0,4,1,0.3125,0.220158,182,3545,3727
336,2011-12-02,4,0,5,1,0.31416700000000003,0.100754,268,3672,3940
337,2011-12-03,4,0,6,1,0.299167,0.0957833,706,2908,3614
338,2011-12-04,4,0,0,1,0.330833,0.08395830000000001,634,2851,3485
339,2011-12-05,4,0,1,2,0.385833,0.06220830000000001,233,3578,3811
340,2011-12-06,4,0,2,3,0.4625,0.23258299999999998,126,2468,2594
341,2011-12-07,4,0,3,3,0.41,0.266175,50,655,705
342,2011-12-08,4,0,4,1,0.265833,0.240058,150,3172,3322
343,2011-12-09,4,0,5,1,0.290833,0.08271669999999999,261,3359,3620
344,2011-12-10,4,0,6,1,0.275,0.233221,502,2688,3190
345,2011-12-11,4,0,0,1,0.220833,0.0665417,377,2366,2743
346,2011-12-12,4,0,1,1,0.238333,0.06345,143,3167,3310
347,2011-12-13,4,0,2,1,0.2825,0.14055,155,3368,3523
348,2011-12-14,4,0,3,2,0.3175,0.06095830000000001,178,3562,3740
349,2011-12-15,4,0,4,2,0.4225,0.268042,181,3528,3709
350,2011-12-16,4,0,5,2,0.375,0.260575,178,3399,3577
351,2011-12-17,4,0,6,2,0.258333,0.243167,275,2464,2739
352,2011-12-18,4,0,0,1,0.238333,0.16977899999999999,220,2211,2431
353,2011-12-19,4,0,1,1,0.276667,0.172896,260,3143,3403
354,2011-12-20,4,0,2,2,0.385833,0.06157080000000001,216,3534,3750
355,2011-12-21,1,0,3,2,0.428333,0.2214,107,2553,2660
356,2011-12-22,1,0,4,2,0.423333,0.047275,227,2841,3068
357,2011-12-23,1,0,5,1,0.37333299999999997,0.274246,163,2046,2209
358,2011-12-24,1,0,6,1,0.3025,0.190304,155,856,1011
359,2011-12-25,1,0,0,1,0.274783,0.155091,303,451,754
360,2011-12-26,1,1,1,1,0.321739,0.239465,430,887,1317
361,2011-12-27,1,0,2,2,0.325,0.18845,103,1059,1162
362,2011-12-28,1,0,3,1,0.29913,0.29396100000000003,255,2047,2302
363,2011-12-29,1,0,4,1,0.248333,0.11941199999999999,254,2169,2423
364,2011-12-30,1,0,5,1,0.311667,0.13433699999999998,491,2508,2999
365,2011-12-31,1,0,6,1,0.41,0.220154,665,1820,2485
366,2012-01-01,1,0,0,1,0.37,0.192167,686,1608,2294
367,2012-01-02,1,1,1,1,0.273043,0.329665,244,1707,1951
368,2012-01-03,1,0,2,1,0.15,0.365671,89,2147,2236
369,2012-01-04,1,0,3,2,0.1075,0.1847,95,2273,2368
370,2012-01-05,1,0,4,1,0.265833,0.129987,140,3132,3272
371,2012-01-06,1,0,5,1,0.334167,0.167908,307,3791,4098
372,2012-01-07,1,0,6,1,0.393333,0.174758,1070,3451,4521
373,2012-01-08,1,0,0,1,0.3375,0.19154200000000002,599,2826,3425
374,2012-01-09,1,0,1,2,0.224167,0.0989,106,2270,2376
375,2012-01-10,1,0,2,1,0.308696,0.187552,173,3425,3598
376,2012-01-11,1,0,3,2,0.274167,0.131221,92,2085,2177
377,2012-01-12,1,0,4,2,0.3825,0.18096700000000002,269,3828,4097
378,2012-01-13,1,0,5,1,0.274167,0.378108,174,3040,3214
379,2012-01-14,1,0,6,1,0.18,0.187183,333,2160,2493
380,2012-01-15,1,0,0,1,0.166667,0.251258,284,2027,2311
381,2012-01-16,1,1,1,1,0.19,0.23135799999999998,217,2081,2298
382,2012-01-17,1,0,2,2,0.37304299999999996,0.34913,127,2808,2935
383,2012-01-18,1,0,3,1,0.303333,0.415429,109,3267,3376
384,2012-01-19,1,0,4,1,0.19,0.220158,130,3162,3292
